id	nm	lat	lon	countryCode
1799897	Nanma	36.181671	118.158333	CN
1799908	Nanlong	31.353331	106.063087	CN
1800065	Nangong	37.358059	115.374443	CN
1800088	Nanfeng	23.743441	111.795929	CN
1800101	Nandu	22.852501	110.823334	CN
1800107	Nanding	36.748329	118.055832	CN
1800146	Nanchong	30.795080	106.084740	CN
1800163	Nanchang	28.683331	115.883331	CN
1800430	Miyang	24.404169	103.442780	CN
1800498	Mingshui	36.716671	117.500000	CN
1800519	Mingguang	32.780170	117.963783	CN
1800521	Minggang	32.458611	114.048607	CN
1800627	Mianyang	31.459339	104.754242	CN
1800675	Mengyin	35.706940	117.926392	CN
1800764	Mengcheng Chengguanzhen	33.266109	116.566048	CN
1800829	Wuchuan	21.457130	110.765907	CN
1801401	Majie	25.033331	102.636108	CN
1801455	Zhijiang	30.421391	111.753326	CN
1801615	Maba	24.684120	113.598389	CN
1801722	Lushun	38.799999	121.266670	CN
1801757	Luqiao	28.580839	121.377151	CN
1801797	Luoyang	24.962219	118.681107	CN
1801799	Luoyang	23.162439	114.273422	CN
1801850	Luorong	24.405830	109.608612	CN
1801983	Luocheng	29.384809	104.028618	CN
1802068	Lucheng	31.233570	117.280571	CN
1802177	Lubu	23.174219	112.280937	CN
1802204	Luancheng	37.879169	114.651672	CN
1802238	Loudi	27.734440	111.994438	CN
1802476	Longquan	24.671921	102.161301	CN
1802788	Licheng	31.430799	119.523987	CN
1802875	Liuyang	28.150000	113.633331	CN
1802940	Puning	23.310720	116.168694	CN
1803245	Lishui	28.460421	119.910294	CN
1803266	Lintong	34.378029	109.208923	CN
1803318	Linyi	35.063061	118.342781	CN
1803334	Linxi	39.700001	118.433327	CN
1803352	Linshui	36.424721	114.204720	CN
1803364	Linqu	36.515560	118.539719	CN
1803365	Linqiong	30.415871	103.460876	CN
1803367	Linqing	36.845558	115.711670	CN
1803374	Linping	30.422501	120.297218	CN
1803422	Linhai	28.850000	121.116669	CN
1803551	Lingcheng	22.707220	110.349167	CN
1803560	Lincheng	19.907780	109.685829	CN
1803616	Liling	27.666670	113.500000	CN
1803782	Lichuan	30.299999	108.849998	CN
1803791	Licheng	23.295540	113.828362	CN
1803841	Lianzhou	24.781111	112.382500	CN
1803842	Lianzhou	21.668200	109.169456	CN
1803886	Lianran	24.922710	102.484962	CN
1803948	Liangxiang	39.731941	116.139999	CN
1804120	Lianjiang	21.646730	110.281723	CN
1804153	Leshan	29.562281	103.763863	CN
1804162	Lengshuitan	26.411100	111.595589	CN
1804169	Lengshuijiang	27.688061	111.429443	CN
1804252	Lecheng	25.123831	113.325417	CN
1804386	Laohekou	32.385830	111.667778	CN
1804442	Lanxi	29.219460	119.476952	CN
1804451	Lianyuan	27.688330	111.664169	CN
1804645	Kunyang	27.665831	120.565826	CN
1804874	Kaihua	23.368700	104.279999	CN
1804879	Kaifeng	34.791111	114.348328	CN
1804892	Juye	35.394718	116.088333	CN
1804979	Juegang	32.317371	121.185516	CN
1805179	Jiujiang	29.733330	115.983330	CN
1805267	Jishui	33.733330	115.400002	CN
1805270	Jishou	28.316669	109.716667	CN
1805334	Jinxiangzhen	27.432650	120.606247	CN
1805379	Jinshi	29.604870	111.870117	CN
1805408	Jinsha	32.089821	121.073547	CN
1805505	Jinjiang	19.729170	110.006393	CN
1805515	Jinji	23.228060	110.826111	CN
1805563	Tianchang	37.998058	114.015556	CN
1805618	Jingling	30.650000	113.099998	CN
1805757	Jimo	36.389721	120.462219	CN
1805798	Jiangjin	29.290560	106.254173	CN
1805833	Jiexiu	37.024441	111.912498	CN
1805844	Jieshou	33.263378	115.361076	CN
1805857	Jieshi	22.813379	115.825737	CN
1805884	Jiehu	35.542782	118.455002	CN
1805935	Jiazi	22.877911	116.067047	CN
1806096	Jiaozhou	36.283890	120.003326	CN
1806167	Jianou	27.046940	118.325279	CN
1806218	Jiangyan	32.506111	120.142776	CN
1806248	Jianguang	28.193769	115.783600	CN
1806327	Jiangkou	25.487221	119.198608	CN
1806445	Jian	27.117161	114.979271	CN
1806591	Hutang	31.533331	119.483330	CN
